,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9937550297849167,0.985652520241286,0.5294925865264076,0.9795849200110428,0.9896871916013366,0.7224234923912918,0.7575725533838469
1,0.19192698341119432,0.1676817642999743,0.9973928316703482,0.09828983068472949,0.17898705412477622,0.40895548622635114,0.5825372979851613
2,0.2931651118311743,0.5610883428759694,0.9872811262282192,0.23847579886331877,0.38511176251032675,0.7442794710779763,0.7741847345520942
mean,0.49294904167576176,0.5714742091390766,0.8380555148083251,0.438783516519697,0.5179286694121465,0.625219483231873,0.7047648619737008
