,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9937329170258384,0.9857702614505998,0.552052443365791,0.9796797242399172,0.9897355741379406,0.7376970119440218,0.7689113524081954
1,0.20336536989768028,0.1415264313337202,0.997673993426413,0.091049174229297,0.16690205424262927,0.37576221194274134,0.5696002123800666
2,0.2917189750802491,0.5731042237401713,0.9866392856256899,0.23964494394920935,0.3866348104252471,0.7519621944619744,0.7798717546829306
mean,0.4962724206679226,0.5668003055081637,0.8454552408059647,0.4367912808061412,0.5144241462686056,0.6218071394495791,0.7061277731570641
