,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9928376659963349,0.9874183042517864,0.5028577138169443,0.9804344357254126,0.9901205695469435,0.7046494951797363,0.7451380090343653
1,0.2796588393727845,0.17170973159305855,0.9980187027677316,0.11905375369102353,0.21277575504901955,0.41396802240885666,0.584864217180395
2,0.3074687512953944,0.5333972356825925,0.9882735318100199,0.24229863472153143,0.390081141441235,0.7260457079039426,0.7608353837463062
mean,0.526655085554838,0.5641750905091458,0.8297166494648986,0.44726227471265584,0.530992488679066,0.6148877418308452,0.6969458699870222
