,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9934202652281537,0.986588629258506,0.5060295489290307,0.9801836323505413,0.9899926616270754,0.7065712979184708,0.7463090890937684
1,0.22014874752931762,0.13448185792017253,0.998067337160048,0.09108853064243494,0.16696817551331392,0.3663631392904075,0.5662745975401102
2,0.27641493600208433,0.5327207863219252,0.9873135860394113,0.22247408887701223,0.3639735040623743,0.7252327005184164,0.7600171861806683
mean,0.49666131625318527,0.5512637578335345,0.8304701573761634,0.4312487506233295,0.5069781137342546,0.5993890459090983,0.690866957604849
