,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9933886705980736,0.9853000086559001,0.47897666665757305,0.978880999742535,0.9893278068462871,0.6869757738113338,0.7321383376567365
1,0.12872313328332963,0.13354685112005504,0.9968428482797735,0.0701428518431815,0.13109063284844558,0.36486329419292174,0.5651948496999143
2,0.26226934831888904,0.49411852747915846,0.9874497894859038,0.20675339294774225,0.3426605537734677,0.6985107271476794,0.7407841584825311
mean,0.4614603840667641,0.5376551290850379,0.8210897681410835,0.4185924148444862,0.4876929978227334,0.5834499317173116,0.6793724486130607
