,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.993667372717136,0.9869412159221603,0.5171038911933479,0.980772391409713,0.9902928732883828,0.7143886499185462,0.752022553557754
1,0.1659355365527253,0.11665998675357286,0.9976527791821581,0.07353830111472844,0.13700172790922982,0.34115415870842863,0.5571563829678655
2,0.29071546965873274,0.5485020498265532,0.9880227247437678,0.23458007388036628,0.38001597278832744,0.7361606412986047,0.7682623872851605
mean,0.48343945964286467,0.5507010841674288,0.8342597983730912,0.4296302554682692,0.5024368579953133,0.5972344833085265,0.69248044127026
