,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9936241996339297,0.9870541386185934,0.5093275105684513,0.9808418373888874,0.9903282724296825,0.7090372537595575,0.7481908245935223
1,0.19500327695387445,0.1400687245605439,0.9976949635869082,0.08875105685007947,0.1630327819967397,0.3738259769599974,0.5688818440737261
2,0.2820155261681734,0.527819743579957,0.9881067114431252,0.22520035892379756,0.36761392907460627,0.7221788082348753,0.7579632275115411
mean,0.4902143342519925,0.5516475355863647,0.8317097285328282,0.43159775105425485,0.5069916611670094,0.6016806796514768,0.6916786320595966
