,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9935551797802654,0.9863769239372059,0.5316513977865628,0.9801059536066229,0.9899530394537013,0.7241606661201819,0.7590141608618843
1,0.20137850290807463,0.19336040199255633,0.9973016982677938,0.1094395671758608,0.19728801894896397,0.43913398557264927,0.5953310501301751
2,0.3180073500592342,0.5497836031510068,0.9881255538077776,0.25230360334226104,0.40294318832731996,0.7370584965510024,0.7689545784793922
mean,0.5043136775825248,0.5765069763602563,0.8390262166207113,0.4472830413749149,0.5300614155766618,0.6334510494146112,0.7077665964904839
