,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.993246446205668,0.986308773166926,0.5133027771835496,0.9797382747574335,0.9897654525848629,0.7115300643170903,0.7498057751752378
1,0.2194919772852427,0.14618302835076552,0.9977191851099881,0.09618423144224957,0.175489171771245,0.3819026209952428,0.5719511067303769
2,0.2815249641752863,0.5363547130343355,0.9872570370993312,0.22642257954002715,0.36924072227200433,0.7276812247299913,0.7618058750668333
mean,0.49808779588873237,0.5562821715173424,0.8327596664642897,0.4341150285799034,0.5114984488760373,0.6070379700141081,0.694520918990816
