,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9931626060616707,0.9873869362276734,0.5577484633048138,0.9807203605754358,0.9902663496532327,0.7421007656432063,0.7725676997662436
1,0.24328911114576887,0.13796405659498145,0.99807886694976,0.09653813547479528,0.1760780265667546,0.3710781713953431,0.5680214617723707
2,0.3449450920033404,0.5922316612306497,0.987858078498964,0.2787424941113713,0.43596344908374407,0.7648796185606981,0.7900448698648068
mean,0.5271322697369266,0.5725275513511016,0.8478951362511792,0.45200033005386747,0.5341026084345771,0.6260195185330825,0.7102113438011403
