,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9948260183368036,0.9957564022091141,0.6085102915448014,0.9906261273246959,0.9952909928456017,0.7784137836754116,0.8021333468769578
1,0.4797631054904699,0.3502828651782633,0.9984590447176084,0.25385880311912473,0.4049240671878212,0.5913908140534782,0.6743709549479359
2,0.625085449866719,0.6366965903545238,0.9965259458967429,0.4607470921598294,0.6308375962310883,0.7965454613217459,0.8166112681256333
mean,0.6998915245646642,0.6609119525806336,0.8678317607197176,0.5684106742012166,0.6770175520881704,0.7221166863502119,0.7643718566501757
