,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9941115444644049,0.9970414899802548,0.5676982202555612,0.9911877230349064,0.9955743615415314,0.7523421292090079,0.7823698551179079
1,0.4023849813807979,0.3725188237583693,0.9980531923374759,0.23983056519255583,0.38687635540797977,0.6097488017682708,0.6852860080479226
2,0.7679160324341218,0.5640274087088414,0.9982832357586737,0.48188377373621155,0.6503664892979537,0.7503726451720119,0.7811553222337575
mean,0.7214708527597748,0.6445292408158219,0.8546782161172369,0.5709673539878913,0.6776057354158217,0.7041545253830969,0.7496037284665293
