,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9943815599025541,0.9965206464105072,0.5913799974678602,0.9909411263047498,0.9954499540063931,0.7676733532896112,0.7939503219391837
1,0.46207662155350887,0.4305105466400171,0.9978010032740037,0.28678220426292106,0.44573542175646136,0.6554112108878278,0.7141557749570104
2,0.7195925299058649,0.5773286693619911,0.9979056483461385,0.47129996293623083,0.640657887322543,0.7590253883161558,0.7876171588540648
mean,0.7253502371206425,0.6681199541375052,0.8623622163626674,0.5830077645013007,0.6939477543617992,0.7273699841645316,0.7652410852500863
