,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9949006452304745,0.9945204006449109,0.594987614477421,0.9894766366693487,0.9947104865989937,0.7692381430537909,0.7947540075611659
1,0.3197217659567115,0.4280942319753034,0.9968186169075559,0.22403171173927036,0.3660554045955814,0.6532475030367313,0.7124564244414296
2,0.6245119667013528,0.5685203981829128,0.9969134666866486,0.4236925158993413,0.5952022802222801,0.7528383897189366,0.7827169324347807
mean,0.6463781259628463,0.6637116769343757,0.8629065660238752,0.5457336214359868,0.6519893904722851,0.7251080119364862,0.7633091214791254
