,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9945464420935125,0.9965736751274309,0.6062505476784472,0.9911573233118816,0.9955590266100066,0.7772858781348906,0.8014121114029391
1,0.47032196659208875,0.404553404401232,0.9980884583686701,0.27792719550552714,0.43496561695063335,0.6354369234838521,0.7013209313849511
2,0.7075263168380578,0.6014256064554284,0.9976128415137689,0.4816744489520863,0.6501758187066673,0.7745901549949764,0.7995192239845987
mean,0.7241315751745531,0.6675175619946971,0.8673172825202955,0.5835863225898317,0.6935668207557691,0.7291043188712396,0.7674174222574962
