,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.99460034272095,0.9954721017581579,0.648392269498522,0.9901211011463356,0.9950360313008219,0.8034030217029531,0.8219321856283399
1,0.41031681065209136,0.4871731228995133,0.9968655096765148,0.28654940666139006,0.44545418182577057,0.696883120372364,0.742019316288014
2,0.7298273908753705,0.6137974166650463,0.9975469054991503,0.500152789153878,0.6668024654155075,0.7824907115088264,0.8056721610820983
mean,0.7115815147494707,0.6988142137742392,0.8809348948913956,0.5922744323205346,0.7024308928473667,0.7609256178613811,0.7898745543328175
