,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9947683393626978,0.9961429358138554,0.5941388749380527,0.9909514502889744,0.9954551630529653,0.7693160879391078,0.795140905375954
1,0.39140832710436546,0.41755561319964174,0.9974118187621028,0.25317947659106516,0.4040594046110159,0.6453486682373953,0.7074837159808722
2,0.6754459560167275,0.5499908928706879,0.9976610216190519,0.4350256037908896,0.6062966439646621,0.740745891694679,0.7738259572448699
mean,0.6872075408279302,0.6545631472947283,0.8630705717730692,0.5597188435569764,0.6686037372095478,0.7184702159570607,0.7588168595338988
