,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9948333260208727,0.9955291034575529,0.6072589507911587,0.9904084072455063,0.9951810931266276,0.7775242496846618,0.8013940271243558
1,0.37319956164535995,0.4327138300188581,0.9973161538774746,0.25059342330862683,0.40075922140330056,0.6569265504483731,0.7150149919481663
2,0.6729375866529762,0.5806732723369128,0.997346620272011,0.45286557835046204,0.6234101558998064,0.7610075726610801,0.789009946304462
mean,0.6803234914397364,0.669638735271108,0.8673072416468814,0.5646224696348651,0.6731168234765782,0.7318194575980383,0.7684729884589947
