,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9946742289497226,0.9941445513715563,0.6285038049841362,0.9888808031291676,0.9944093196267276,0.790457863039688,0.8113241781778462
1,0.4602322973602979,0.39124628981410814,0.9979444640463941,0.2681863489188714,0.42294470232627907,0.6248536380614906,0.6945953769302511
2,0.5766680014893811,0.6478676537328721,0.9953578451941147,0.4390538090180726,0.6101979040209172,0.8030318497983243,0.8216127494634935
mean,0.6771915092664672,0.6777528316395122,0.8739353714082151,0.5653736536887038,0.6758506419913081,0.7394477836331678,0.7758441015238636
