,precision,recall,specificity,iou,f1,geom_mean,balanced_acc
0,0.9949343945890213,0.9950323987593971,0.611050106955979,0.990016869949303,0.9949833942608982,0.7797529440063654,0.803041252857688
1,0.3349311568172897,0.48075600315107625,0.9961787312663174,0.24595735747070985,0.3948086280737611,0.6920396702991128,0.7384673672086968
2,0.7085076910104916,0.5620977991838919,0.9979302311518712,0.4565236288675157,0.626867453187113,0.7489555305020047,0.7800140151678816
mean,0.6794577474722675,0.6792954003647885,0.868386356458056,0.5641659520958429,0.6722198251739241,0.7402493816024943,0.7738408784114221
